group, variable, value
A,v0,1.218
A,v1,2.385
A,v2,2.07
A,v3,-7.588
A,v4,28.726
A,v5,19.362
A,v6,25.309
A,v7,147.513
A,v8,2.366
A,v9,-26.969
A,v10,64.862
A,v11,32.506
A,v12,7.893
A,v13,-1.096
A,v14,18.983
A,v15,4.708
A,v16,5.368
A,v17,29.169
A,v18,8.302
A,v19,96.22
A,v20,11.567
A,v21,7.462
A,v22,-8.525
A,v23,52.48
A,v24,20.283
A,v25,27.291
A,v26,76.146
A,v27,24.846
A,v28,12.881
A,v29,46.906
A,v30,65.351
A,v31,-24.833
A,v32,38.335
A,v33,7.264
A,v34,16.209
A,v35,66.191
A,v36,92.125
A,v37,-26.666
A,v38,12.142
A,v39,77.255
A,v40,-13.146
B,v0,0.833
B,v1,1.137
B,v2,5.935
B,v3,0.1
B,v4,33.364
B,v5,241.863
B,v6,-7.338
B,v7,125.503
B,v8,-1.103
B,v9,42.559
B,v10,90.696
B,v11,25.713
B,v12,10.927
B,v13,24.546
B,v14,45.389
B,v15,10.223
B,v16,87.568
B,v17,150.513
B,v18,0.633
B,v19,12.926
B,v20,17.977
B,v21,-7.213
B,v22,-36.35
B,v23,65.268
B,v24,32.622
B,v25,146.911
B,v26,81.47
B,v27,7.036
B,v28,6.4
B,v29,26.617
B,v30,79.625
B,v31,37.462
B,v32,36.251
B,v33,15.983
B,v34,70.479
B,v35,93.02
B,v36,102.697
B,v37,-27.132
B,v38,15.736
B,v39,-25.781
B,v40,-25.629
C,v0,-4.076
C,v1,8.161
C,v2,10.705
C,v3,50.026
C,v4,49.686
C,v5,207.904
C,v6,16.202
C,v7,96.489
C,v8,24.943
C,v9,-6.39
C,v10,77.602
C,v11,55.833
C,v12,9.907
C,v13,51.753
C,v14,36.815
C,v15,10.145
C,v16,123.168
C,v17,109.895
C,v18,3.255
C,v19,47.234
C,v20,36.007
C,v21,63.928
C,v22,-3.659
C,v23,28.616
C,v24,48.715
C,v25,103.746
C,v26,17.657
C,v27,46.736
C,v28,46.925
C,v29,54.896
C,v30,174.379
C,v31,47.938
C,v32,45.301
C,v33,20.803
C,v34,93.651
C,v35,67.617
C,v36,80.061
C,v37,9.156
C,v38,32.293
C,v39,-45.976
C,v40,-0.459
D,v0,1.694
D,v1,1.17
D,v2,6.625
D,v3,-18.112
D,v4,27.569
D,v5,343.218
D,v6,37.272
D,v7,193.184
D,v8,1.239
D,v9,74.892
D,v10,97.069
D,v11,56.019
D,v12,8.819
D,v13,23.879
D,v14,151.55
D,v15,17.965
D,v16,154.683
D,v17,274.906
D,v18,134.144
D,v19,-17.839
D,v20,66.279
D,v21,5.81
D,v22,-17.436
D,v23,146.437
D,v24,38.674
D,v25,85.308
D,v26,125.147
D,v27,12.95
D,v28,24.263
D,v29,97.578
D,v30,197.663
D,v31,36.659
D,v32,5.024
D,v33,14.888
D,v34,103.866
D,v35,171.802
D,v36,123.18
D,v37,-7.008
D,v38,23.544
D,v39,82.597
D,v40,-17.53
E,v0,-0.315
E,v1,3.093
E,v2,4.752
E,v3,-1.767
E,v4,16.2
E,v5,340.165
E,v6,26.692
E,v7,138.822
E,v8,-0.6
E,v9,60.591
E,v10,51.494
E,v11,44.224
E,v12,0.351
E,v13,28.843
E,v14,103.583
E,v15,20.061
E,v16,183.163
E,v17,231.289
E,v18,148.813
E,v19,16.474
E,v20,62.01
E,v21,3.565
E,v22,-8.204
E,v23,101.76
E,v24,29.427
E,v25,27.176
E,v26,96.355
E,v27,21.739
E,v28,9.911
E,v29,85.411
E,v30,161.023
E,v31,46.746
E,v32,-4.718
E,v33,13.132
E,v34,92.852
E,v35,142.855
E,v36,118.617
E,v37,43.454
E,v38,135.932
E,v39,58.485
E,v40,-25.063
