group,variable,value
QY_1_2,vCHEX1,1.218
QY_1_2,vCHEX2,2.385
QY_1_2,vCHEX3,2.07
QY_1_2,vCHEX4,-7.588
QY_1_2,vEOTAXIN,28.726
QY_1_2,vGSCF/CSF3,19.362
QY_1_2,vGMCSF,25.309
QY_1_2,vGROA,147.513
QY_1_2,vIFNA,2.366
QY_1_2,vIFNG,-26.969
QY_1_2,vIL10,64.862
QY_1_2,vIL12P70,32.506
QY_1_2,vIL13,7.893
QY_1_2,vIL15/IL15R,-1.096
QY_1_2,vIL17A,18.983
QY_1_2,vIL18,4.708
QY_1_2,vIL1A,5.368
QY_1_2,vIL1B,29.169
QY_1_2,vIL2,8.302
QY_1_2,vIL22,96.22
QY_1_2,vIL23,11.567
QY_1_2,vIL27,7.462
QY_1_2,vIL28,-8.525
QY_1_2,vIL3,52.48
QY_1_2,vIL31,20.283
QY_1_2,vIL4,27.291
QY_1_2,vIL5,76.146
QY_1_2,vIL6,24.846
QY_1_2,vIL9,12.881
QY_1_2,vIP10,46.906
QY_1_2,vLIF,65.351
QY_1_2,vLIX,-24.833
QY_1_2,vMCSF,38.335
QY_1_2,vMCP1,7.264
QY_1_2,vMCP3,16.209
QY_1_2,vMIP1A,66.191
QY_1_2,vMIP1B,92.125
QY_1_2,vMIP2,-26.666
QY_1_2,vRANTES,12.142
QY_1_2,vTGFB,77.255
QY_1_2,vTNFA,-13.146
QY_2_1,vCHEX1,0.833
QY_2_1,vCHEX2,1.137
QY_2_1,vCHEX3,5.935
QY_2_1,vCHEX4,0.1
QY_2_1,vEOTAXIN,33.364
QY_2_1,vGSCF/CSF3,241.863
QY_2_1,vGMCSF,-7.338
QY_2_1,vGROA,125.503
QY_2_1,vIFNA,-1.103
QY_2_1,vIFNG,42.559
QY_2_1,vIL10,90.696
QY_2_1,vIL12P70,25.713
QY_2_1,vIL13,10.927
QY_2_1,vIL15/IL15R,24.546
QY_2_1,vIL17A,45.389
QY_2_1,vIL18,10.223
QY_2_1,vIL1A,87.568
QY_2_1,vIL1B,150.513
QY_2_1,vIL2,0.633
QY_2_1,vIL22,12.926
QY_2_1,vIL23,17.977
QY_2_1,vIL27,-7.213
QY_2_1,vIL28,-36.35
QY_2_1,vIL3,65.268
QY_2_1,vIL31,32.622
QY_2_1,vIL4,146.911
QY_2_1,vIL5,81.47
QY_2_1,vIL6,7.036
QY_2_1,vIL9,6.4
QY_2_1,vIP10,26.617
QY_2_1,vLIF,79.625
QY_2_1,vLIX,37.462
QY_2_1,vMCSF,36.251
QY_2_1,vMCP1,15.983
QY_2_1,vMCP3,70.479
QY_2_1,vMIP1A,93.02
QY_2_1,vMIP1B,102.697
QY_2_1,vMIP2,-27.132
QY_2_1,vRANTES,15.736
QY_2_1,vTGFB,-25.781
